state,year,first_name,last_name,party,sex,died,status,win_margin,region,outcome,election_age,death_age,lived_after
Alabama,1990,Guy,Hunt,Republican,Male,2009-01-30,Incumbent,4.2293470437018,South,Win,57.385352498288846,75.62217659137578,18.236824093086927
Alabama,2006,Lucy,Baxley,Democrat,Female,2016-10-14,Challenger,-16.0319314075632,South,Lose,68.87337440109513,78.8145106091718,9.94113620807666
Alaska,1958,John,Butrovich,Republican,Male,1997-06-03,Challenger,-20.396799208051483,West,Lose,48.62422997946612,87.20054757015743,38.57631759069131
Alaska,1958,William,Egan,Democrat,Male,1984-05-06,Challenger,20.396799208051483,West,Win,44.0766598220397,69.57700205338809,25.50034223134839
Alaska,1962,William,Egan,Democrat,Male,1984-05-06,Incumbent,4.539440023993933,West,Win,48.0766598220397,69.57700205338809,21.50034223134839
Alaska,1962,Mike,Stepovich,Republican,Male,2014-02-14,Challenger,-4.539440023993933,West,Lose,43.65229295003422,94.92950034223135,51.27720739219713
Alaska,1966,William,Egan,Democrat,Male,1984-05-06,Incumbent,-1.656187701272806,West,Lose,52.0766598220397,69.57700205338809,17.50034223134839
Alaska,1966,Walter,Hickel,Republican,Male,2010-05-07,Challenger,1.656187701272806,West,Win,47.21697467488022,90.71868583162218,43.501711156741955
Alaska,1970,William,Egan,Democrat,Male,1984-05-06,Challenger,6.340090231611221,West,Win,56.0766598220397,69.57700205338809,13.500342231348391
Alaska,1970,Keith,Miller,Republican,Male,2019-03-02,Challenger,-6.340090231611221,West,Lose,45.68104038329911,94.00136892539356,48.32032854209446
Alaska,1974,William,Egan,Democrat,Male,1984-05-06,Incumbent,-0.3140284266847573,West,Lose,60.0766598220397,69.57700205338809,9.500342231348391
Alaska,1974,Jay,Hammond,Republican,Male,2005-08-02,Challenger,0.3140284266847573,West,Win,52.29295003422313,83.03353867214237,30.740588637919235
Alaska,1978,Jay,Hammond,Republican,Male,2005-08-02,Incumbent,31.798607049816574,West,Win,56.29295003422313,83.03353867214237,26.740588637919235
Alaska,1990,Walter,Hickel,Third party,Male,2010-05-07,Challenger,11.4183134444755,West,Win,71.21697467488022,90.71868583162218,19.50171115674196
Alaska,1994,James,Campbell,Republican,Male,2006-01-02,Challenger,-0.3065484701172352,West,Lose,62.38193018480493,73.54140999315537,11.159479808350445
